depth,width,n_params,seed,final_train_acc,final_test_acc,final_train_loss,actual_epochs,flops_per_epoch,optimization_failure,loss_ep10,loss_ep20,loss_ep30,loss_ep60,regime,budget,fixed_w,corruption,param_err_pct
12,39,49111,99,0.9503,0.7976,0.18824,118,953940000,False,0.83293,0.74562,0.64446,0.43787,iso_param,50000.0,,0.1,1.778
12,39,49111,256,0.9492,0.8016,0.18676,120,953940000,False,0.82999,0.71193,0.58994,0.41905,iso_param,50000.0,,0.1,1.778
12,39,49111,42,0.8445,0.7167,0.52716,120,953940000,False,1.37883,1.28129,1.2289,0.90741,iso_param,50000.0,,0.3,1.778
12,39,49111,123,0.8455,0.7089,0.52145,120,953940000,False,1.40208,1.28043,1.1877,0.87504,iso_param,50000.0,,0.3,1.778
12,39,49111,7,0.8287,0.7312,0.58911,120,953940000,False,1.4281,1.36279,1.21686,0.86606,iso_param,50000.0,,0.3,1.778
12,39,49111,17,0.8255,0.7237,0.58424,120,953940000,False,1.38614,1.26634,1.16193,0.85668,iso_param,50000.0,,0.3,1.778
12,39,49111,99,0.8308,0.7346,0.57308,120,953940000,False,1.4057,1.26778,1.20617,0.87941,iso_param,50000.0,,0.3,1.778
12,39,49111,256,0.8309,0.728,0.56305,115,953940000,False,1.41271,1.30366,1.18436,0.95823,iso_param,50000.0,,0.3,1.778
12,39,49111,42,0.6649,0.5604,1.04903,120,953940000,False,1.97287,1.90265,1.82655,1.44493,iso_param,50000.0,,0.6,1.778
12,39,49111,123,0.6713,0.5627,1.02204,120,953940000,False,1.96385,1.90435,1.81478,1.47783,iso_param,50000.0,,0.6,1.778
12,39,49111,7,0.6619,0.5421,1.05703,120,953940000,False,1.97972,1.87424,1.80627,1.44059,iso_param,50000.0,,0.6,1.778
12,39,49111,17,0.6547,0.5534,1.08547,120,953940000,False,1.97473,1.91404,1.80125,1.47979,iso_param,50000.0,,0.6,1.778
12,39,49111,99,0.6613,0.5372,1.05918,118,953940000,False,1.97555,1.92634,1.78703,1.482,iso_param,50000.0,,0.6,1.778
12,39,49111,256,0.6551,0.577,1.10089,120,953940000,False,1.96967,1.89999,1.85274,1.52039,iso_param,50000.0,,0.6,1.778
12,39,49111,42,0.448,0.1208,1.5938,120,953940000,False,2.28845,2.2806,2.26435,2.05882,iso_param,50000.0,,1.0,1.778
12,39,49111,123,0.4735,0.105,1.54417,120,953940000,False,2.29046,2.27036,2.24807,2.03102,iso_param,50000.0,,1.0,1.778
12,39,49111,7,0.4525,0.1025,1.59552,120,953940000,False,2.28884,2.27556,2.25016,2.01884,iso_param,50000.0,,1.0,1.778
12,39,49111,17,0.4611,0.0965,1.56763,120,953940000,False,2.28851,2.27217,2.23231,1.97034,iso_param,50000.0,,1.0,1.778
12,39,49111,99,0.4409,0.082,1.64801,120,953940000,False,2.2941,2.2855,2.26198,2.09524,iso_param,50000.0,,1.0,1.778
12,39,49111,256,0.4582,0.0908,1.59016,120,953940000,False,2.29277,2.28074,2.26001,2.05169,iso_param,50000.0,,1.0,1.778
16,36,49762,42,0.99,0.8327,0.0389,120,960480000,False,0.50925,0.37656,0.30193,0.1338,iso_param,50000.0,,0.0,0.476
16,36,49762,123,0.9911,0.8365,0.03707,118,960480000,False,0.50288,0.35741,0.27984,0.12593,iso_param,50000.0,,0.0,0.476
16,36,49762,7,0.9907,0.8311,0.03585,120,960480000,False,0.52645,0.36288,0.29323,0.14878,iso_param,50000.0,,0.0,0.476
16,36,49762,17,0.9946,0.829,0.02805,120,960480000,False,0.52672,0.36411,0.27171,0.14324,iso_param,50000.0,,0.0,0.476
16,36,49762,99,0.9938,0.8336,0.02817,117,960480000,False,0.48013,0.3318,0.26783,0.1864,iso_param,50000.0,,0.0,0.476
16,36,49762,256,0.989,0.8266,0.04087,120,960480000,False,0.51184,0.358,0.29124,0.12638,iso_param,50000.0,,0.0,0.476
16,36,49762,42,0.9187,0.8109,0.31277,120,960480000,False,0.90066,0.77489,0.71554,0.52741,iso_param,50000.0,,0.1,0.476
16,36,49762,123,0.9177,0.814,0.3173,120,960480000,False,0.90792,0.77672,0.73409,0.49914,iso_param,50000.0,,0.1,0.476
16,36,49762,7,0.921,0.8152,0.3077,119,960480000,False,0.88476,0.79669,0.72415,0.54484,iso_param,50000.0,,0.1,0.476
16,36,49762,17,0.9219,0.8058,0.3102,120,960480000,False,0.92718,0.75842,0.74066,0.5296,iso_param,50000.0,,0.1,0.476
16,36,49762,99,0.9163,0.8084,0.33306,120,960480000,False,0.91032,0.77271,0.75222,0.54985,iso_param,50000.0,,0.1,0.476
16,36,49762,256,0.91,0.8091,0.35126,120,960480000,False,0.88367,0.79932,0.72803,0.54447,iso_param,50000.0,,0.1,0.476
16,36,49762,42,0.771,0.7615,0.81091,120,960480000,False,1.47358,1.36848,1.27601,1.05383,iso_param,50000.0,,0.3,0.476
